Distance_(pixels),Gray_Value
0,11
1,11
2,8
3,9
4,10
5,10
6,10
7,10
8,10
9,10
10,11
11,10
12,10
13,11
14,10
15,11
16,9
17,11
18,11
19,10
20,11
21,11
22,11
23,11
24,12
25,12
26,12
27,11
28,11
29,11
30,11
31,11
32,12
33,13
34,12
35,12
36,12
37,12
38,13
39,13
40,12
41,13
42,12
43,14
44,13
45,15
46,15
47,15
48,14
49,14
50,14
51,15
52,15
53,15
54,15
55,15
56,16
57,16
58,15
59,17
60,17
61,16
62,16
63,17
64,17
65,17
66,17
67,17
68,18
69,19
70,18
71,20
72,19
73,20
74,19
75,20
76,20
77,19
78,21
79,21
80,21
81,22
82,22
83,22
84,23
85,22
86,24
87,24
88,23
89,22
90,23
91,22
92,24
93,24
94,27
95,25
96,27
97,26
98,26
99,27
100,27
101,25
102,28
103,28
104,28
105,30
106,30
107,29
108,29
109,29
110,31
111,32
112,32
113,32
114,31
115,32
116,34
117,34
118,35
119,34
120,35
121,35
122,37
123,37
124,38
125,38
126,39
127,38
128,39
129,38
130,40
131,38
132,40
133,41
134,40
135,40
136,41
137,44
138,44
139,43
140,43
141,44
142,42
143,45
144,47
145,49
146,49
147,50
148,51
149,50
150,50
151,52
152,51
153,53
154,51
155,54
156,55
157,51
158,53
159,55
160,54
161,57
162,59
163,58
164,59
165,60
166,60
167,59
168,61
169,62
170,62
171,63
172,66
173,62
174,69
175,68
176,69
177,68
178,73
179,68
180,73
181,73
182,75
183,75
184,73
185,75
186,79
187,78
188,80
189,79
190,76
191,76
192,77
193,80
194,80
195,81
196,81
197,79
198,84
199,82
200,89
201,92
202,87
203,85
204,89
205,93
206,94
207,96
208,99
209,95
210,98
211,98
212,104
213,102
214,105
215,102
216,101
217,104
218,105
219,111
220,108
221,110
222,111
223,111
224,114
225,119
226,117
227,119
228,117
229,119
230,119
231,124
232,120
233,125
234,122
235,128
236,129
237,130
238,133
239,133
240,131
241,135
242,132
243,135
244,141
245,136
246,140
247,140
248,143
249,145
250,139
251,142
252,143
253,148
254,148
255,149
256,156
257,153
258,151
259,151
260,159
261,160
262,163
263,158
264,160
265,157
266,161
267,165
268,157
269,158
270,167
271,173
272,169
273,163
274,161
275,160
276,161
277,158
278,167
279,152
280,155
281,158
282,163
283,168
284,160
285,155
286,164
287,165
288,160
289,152
290,161
291,160
292,154
293,158
294,155
295,156
296,153
297,153
298,153
299,152
300,156
301,153
302,157
303,151
304,148
305,146
306,152
307,152
308,153
309,154
310,153
311,160
312,154
313,166
314,158
315,163
316,170
317,160
318,161
319,164
320,159
321,157
322,159
323,155
324,159
325,158
326,156
327,156
328,159
329,156
330,157
331,153
332,158
333,158
334,160
335,157
336,164
337,163
338,166
339,161
340,159
341,164
342,166
343,160
344,161
345,164
346,164
347,159
348,162
349,158
350,156
351,156
352,158
353,159
354,161
355,166
356,159
357,160
358,155
359,151
360,164
361,159
362,159
363,162
364,162
365,158
366,169
367,153
368,162
369,157
370,161
371,162
372,155
373,155
374,158
375,165
376,158
377,157
378,150
379,156
380,159
381,161
382,163
383,157
384,156
385,159
386,154
387,157
388,157
389,153
390,160
391,162
392,157
393,150
394,151
395,164
396,160
397,160
398,161
399,161
400,168
401,169
402,168
403,172
404,169
405,169
406,159
407,164
408,176
409,168
410,167
411,171
412,172
413,168
414,164
415,161
416,163
417,161
418,159
419,161
420,160
421,161
422,163
423,166
424,164
425,161
426,153
427,160
428,160
429,157
430,154
431,153
432,156
433,154
434,154
435,151
436,155
437,154
438,149
439,147
440,144
441,149
442,144
443,142
444,149
445,148
446,147
447,142
448,147
449,148
450,144
451,140
452,141
453,140
454,139
455,136
456,132
457,133
458,133
459,137
460,133
461,130
462,130
463,134
464,130
465,131
466,126
467,129
468,129
469,125
470,119
471,123
472,125
473,117
474,123
475,119
476,114
477,117
478,110
479,115
480,113
481,110
482,108
483,109
484,105
485,105
486,104
487,101
488,100
489,101
490,103
491,101
492,97
493,96
494,97
495,98
496,96
497,96
498,95
499,90
500,91
501,90
502,90
503,86
504,83
505,85
506,83
507,86
508,85
509,81
510,83
511,86
512,81
513,80
514,80
515,78
516,75
517,78
518,74
519,76
520,72
521,74
522,72
523,70
524,74
525,73
526,68
527,69
528,68
529,67
530,67
531,68
532,68
533,66
534,65
535,63
536,63
537,57
538,61
539,58
540,56
541,55
542,55
543,57
544,60
545,60
546,55
547,54
548,57
549,54
550,54
551,52
552,53
553,54
554,50
555,52
556,51
557,50
558,50
559,50
560,47
561,46
562,48
563,45
564,46
565,48
566,45
567,45
568,43
569,43
570,41
571,42
572,42
573,39
574,38
575,39
576,38
577,38
578,39
579,36
580,36
581,37
582,37
583,35
584,35
585,36
586,35
587,34
588,32
589,34
590,31
591,33
592,31
593,31
594,33
595,33
596,32
597,30
598,32
599,29
600,33
601,31
602,30
603,30
604,31
605,30
606,29
607,27
608,28
609,27
610,27
611,25
612,25
613,25
614,25
615,27
616,26
617,24
618,25
619,23
620,25
621,26
622,24
623,24
624,24
625,24
626,25
627,24
628,23
629,23
630,25
631,24
632,22
633,22
634,23
635,21
636,22
637,21
638,20
639,22
640,21
641,21
642,21
643,21
644,21
645,22
646,20
647,22
648,22
649,21
650,22
651,21
652,20
653,19
654,20
655,19
656,18
657,19
658,19
659,19
660,19
661,20
662,17
663,18
664,18
665,18
666,19
667,18
668,18
669,17
670,18
671,17
672,16
673,18
674,17
675,17
676,17
677,17
678,18
679,17
680,16
681,17
682,17
683,16
684,17
685,16
686,17
687,16
688,17
689,18
690,16
691,18
692,16
693,16
