Distance_(pixels),Gray_Value,Y1
0,10,11
1,10,11
2,10,8
3,9,9
4,10,10
5,9,10
6,10,10
7,10,10
8,11,10
9,11,10
10,11,11
11,11,10
12,10,10
13,11,11
14,11,10
15,11,11
16,11,9
17,12,11
18,11,11
19,11,10
20,11,11
21,12,11
22,11,11
23,12,11
24,12,12
25,11,12
26,11,12
27,11,11
28,12,11
29,11,11
30,12,11
31,12,11
32,12,12
33,12,13
34,12,12
35,12,12
36,13,12
37,13,12
38,14,13
39,14,13
40,14,12
41,14,13
42,13,12
43,13,14
44,14,13
45,15,15
46,13,15
47,14,15
48,15,14
49,14,14
50,15,14
51,15,15
52,15,15
53,16,15
54,14,15
55,15,15
56,16,16
57,16,16
58,16,15
59,17,17
60,17,17
61,17,16
62,17,16
63,17,17
64,18,17
65,16,17
66,17,17
67,18,17
68,19,18
69,19,19
70,20,18
71,18,20
72,20,19
73,18,20
74,19,19
75,20,20
76,18,20
77,21,19
78,20,21
79,21,21
80,20,21
81,22,22
82,21,22
83,23,22
84,24,23
85,23,22
86,23,24
87,23,24
88,24,23
89,24,22
90,23,23
91,24,22
92,25,24
93,25,24
94,26,27
95,26,25
96,27,27
97,27,26
98,27,26
99,27,27
100,27,27
101,28,25
102,28,28
103,30,28
104,29,28
105,30,30
106,31,30
107,31,29
108,30,29
109,30,29
110,31,31
111,31,32
112,30,32
113,31,32
114,34,31
115,33,32
116,31,34
117,32,34
118,34,35
119,35,34
120,35,35
121,37,35
122,38,37
123,36,37
124,38,38
125,41,38
126,36,39
127,37,38
128,39,39
129,40,38
130,39,40
131,38,38
132,37,40
133,41,41
134,43,40
135,41,40
136,41,41
137,41,44
138,44,44
139,45,43
140,43,43
141,45,44
142,46,42
143,47,45
144,48,47
145,45,49
146,47,49
147,49,50
148,47,51
149,49,50
150,50,50
151,52,52
152,51,51
153,52,53
154,53,51
155,52,54
156,51,55
157,53,51
158,53,53
159,53,55
160,56,54
161,57,57
162,57,59
163,61,58
164,62,59
165,59,60
166,57,60
167,61,59
168,61,61
169,66,62
170,62,62
171,66,63
172,67,66
173,64,62
174,67,69
175,66,68
176,70,69
177,70,68
178,74,73
179,67,68
180,72,73
181,71,73
182,76,75
183,78,75
184,74,73
185,76,75
186,78,79
187,80,78
188,80,80
189,77,79
190,76,76
191,76,76
192,78,77
193,83,80
194,80,80
195,82,81
196,82,81
197,81,79
198,83,84
199,84,82
200,92,89
201,94,92
202,87,87
203,90,85
204,92,89
205,94,93
206,92,94
207,95,96
208,96,99
209,95,95
210,105,98
211,95,98
212,105,104
213,105,102
214,109,105
215,104,102
216,104,101
217,108,104
218,109,105
219,109,111
220,113,108
221,109,110
222,112,111
223,113,111
224,116,114
225,116,119
226,115,117
227,115,119
228,118,117
229,123,119
230,119,119
231,124,124
232,119,120
233,126,125
234,127,122
235,125,128
236,126,129
237,130,130
238,134,133
239,137,133
240,133,131
241,136,135
242,133,132
243,137,135
244,138,141
245,136,136
246,136,140
247,144,140
248,146,143
249,142,145
250,139,139
251,143,142
252,142,143
253,148,148
254,146,148
255,145,149
256,152,156
257,154,153
258,148,151
259,152,151
260,155,159
261,161,160
262,161,163
263,160,158
264,163,160
265,159,157
266,162,161
267,164,165
268,163,157
269,164,158
270,164,167
271,176,173
272,169,169
273,166,163
274,164,161
275,165,160
276,165,161
277,158,158
278,176,167
279,167,152
280,165,155
281,173,158
282,191,163
283,189,168
284,179,160
285,176,155
286,185,164
287,185,165
288,181,160
289,176,152
290,182,161
291,185,160
292,179,154
293,185,158
294,190,155
295,190,156
296,192,153
297,196,153
298,194,153
299,188,152
300,191,156
301,189,153
302,194,157
303,191,151
304,189,148
305,186,146
306,193,152
307,189,152
308,194,153
309,189,154
310,189,153
311,201,160
312,187,154
313,200,166
314,194,158
315,200,163
316,198,170
317,194,160
318,194,161
319,202,164
320,193,159
321,201,157
322,202,159
323,200,155
324,203,159
325,200,158
326,199,156
327,204,156
328,204,159
329,194,156
330,202,157
331,196,153
332,202,158
333,205,158
334,208,160
335,203,157
336,209,164
337,204,163
338,215,166
339,210,161
340,208,159
341,213,164
342,207,166
343,200,160
344,205,161
345,211,164
346,209,164
347,213,159
348,208,162
349,200,158
350,209,156
351,203,156
352,207,158
353,206,159
354,208,161
355,210,166
356,207,159
357,202,160
358,198,155
359,196,151
360,212,164
361,203,159
362,199,159
363,208,162
364,203,162
365,202,158
366,211,169
367,191,153
368,205,162
369,191,157
370,199,161
371,198,162
372,198,155
373,192,155
374,197,158
375,199,165
376,193,158
377,190,157
378,187,150
379,188,156
380,190,159
381,189,161
382,184,163
383,184,157
384,189,156
385,186,159
386,182,154
387,187,157
388,189,157
389,182,153
390,187,160
391,183,162
392,182,157
393,176,150
394,180,151
395,191,164
396,184,160
397,185,160
398,186,161
399,187,161
400,191,168
401,184,169
402,192,168
403,192,172
404,187,169
405,182,169
406,172,159
407,174,164
408,188,176
409,176,168
410,176,167
411,181,171
412,183,172
413,172,168
414,174,164
415,166,161
416,166,163
417,170,161
418,161,159
419,161,161
420,161,160
421,162,161
422,160,163
423,166,166
424,163,164
425,163,161
426,155,153
427,156,160
428,158,160
429,158,157
430,150,154
431,151,153
432,153,156
433,154,154
434,148,154
435,146,151
436,153,155
437,148,154
438,153,149
439,145,147
440,148,144
441,145,149
442,140,144
443,143,142
444,142,149
445,147,148
446,146,147
447,144,142
448,145,147
449,149,148
450,143,144
451,142,140
452,142,141
453,136,140
454,139,139
455,136,136
456,134,132
457,138,133
458,134,133
459,138,137
460,130,133
461,135,130
462,131,130
463,128,134
464,133,130
465,124,131
466,123,126
467,128,129
468,125,129
469,120,125
470,118,119
471,122,123
472,122,125
473,116,117
474,117,123
475,116,119
476,116,114
477,116,117
478,111,110
479,113,115
480,111,113
481,111,110
482,110,108
483,105,109
484,107,105
485,104,105
486,108,104
487,101,101
488,102,100
489,101,101
490,99,103
491,96,101
492,99,97
493,94,96
494,94,97
495,94,98
496,96,96
497,95,96
498,88,95
499,91,90
500,89,91
501,86,90
502,89,90
503,88,86
504,82,83
505,86,85
506,83,83
507,85,86
508,84,85
509,80,81
510,82,83
511,80,86
512,80,81
513,80,80
514,77,80
515,80,78
516,76,75
517,79,78
518,77,74
519,77,76
520,72,72
521,71,74
522,73,72
523,70,70
524,71,74
525,73,73
526,70,68
527,70,69
528,67,68
529,64,67
530,67,67
531,67,68
532,68,68
533,65,66
534,64,65
535,62,63
536,63,63
537,58,57
538,60,61
539,61,58
540,57,56
541,55,55
542,57,55
543,57,57
544,56,60
545,59,60
546,55,55
547,57,54
548,57,57
549,53,54
550,52,54
551,53,52
552,54,53
553,52,54
554,51,50
555,49,52
556,50,51
557,51,50
558,52,50
559,48,50
560,47,47
561,47,46
562,49,48
563,46,45
564,46,46
565,46,48
566,43,45
567,44,45
568,45,43
569,42,43
570,42,41
571,42,42
572,41,42
573,41,39
574,41,38
575,39,39
576,41,38
577,37,38
578,37,39
579,35,36
580,37,36
581,37,37
582,35,37
583,36,35
584,35,35
585,33,36
586,34,35
587,35,34
588,32,32
589,35,34
590,33,31
591,32,33
592,32,31
593,30,31
594,31,33
595,33,33
596,31,32
597,31,30
598,31,32
599,30,29
600,31,33
601,31,31
602,30,30
603,29,30
604,29,31
605,27,30
606,29,29
607,27,27
608,28,28
609,27,27
610,26,27
611,26,25
612,27,25
613,27,25
614,25,25
615,26,27
616,25,26
617,25,24
618,26,25
619,24,23
620,24,25
621,25,26
622,24,24
623,23,24
624,24,24
625,22,24
626,23,25
627,25,24
628,24,23
629,23,23
630,23,25
631,22,24
632,22,22
633,21,22
634,23,23
635,21,21
636,21,22
637,20,21
638,20,20
639,20,22
640,21,21
641,23,21
642,20,21
643,20,21
644,21,21
645,20,22
646,20,20
647,22,22
648,19,22
649,20,21
650,20,22
651,20,21
652,21,20
653,20,19
654,19,20
655,20,19
656,19,18
657,18,19
658,18,19
659,18,19
660,18,19
661,18,20
662,19,17
663,19,18
664,17,18
665,19,18
666,18,19
667,18,18
668,18,18
669,17,17
670,17,18
671,17,17
672,17,16
673,16,18
674,18,17
675,17,17
676,19,17
677,19,17
678,16,18
679,18,17
680,17,16
681,17,17
682,16,17
683,16,16
684,18,17
685,16,16
686,17,17
687,16,16
688,17,17
689,16,18
690,16,16
691,15,18
692,16,16
693,15,16
